id,rated,created_at,last_move_at,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply,move_count
CV6D5Gub,True,1501420000000.0,1501420000000.0,82,resign,black,40+1,eche777,1384,slechta,1658,d4 d5 e3 e6 Nf3 c5 a3 Nc6 c3 Nf6 h3 cxd4 cxd4 Bd6 Bb5 a6 Bxc6+ bxc6 Nc3 Bd7 a4 O-O g4 h6 Qd3 Qe7 g5 hxg5 Nxg5 Rfc8 e4 Bc5 dxc5 Qxc5 e5 Ne4 Ngxe4 dxe4 Nxe4 Qb4+ Kf1 Be8 Nd6 c5 Nxc8 Rxc8 b3 Bc6 Qxa6 Bb7 Qd3 Bxh1 Bd2 Qb7 Ke2 Qc7 Rxh1 Qxe5+ Be3 Qb2+ Kf3 Qf6+ Kg2 Rd8 Qc4 Qg6+ Kh2 Qf5 Bxc5 Qe5+ f4 Rd2+ Kg3 Qf6 Rh2 Qg6+ Kf3 Rxh2 f5 Qxf5+ Qf4 Rxh3+,D00,Queen's Pawn Game #2,3,82
Z0VzPUPm,True,1503070000000.0,1503080000000.0,71,mate,white,10+5,ntam,1100,twizzcliff,1306,Nf3 Nf6 e3 g6 d3 Bg7 Be2 d6 Nc3 e5 Bd2 O-O O-O Re8 e4 c6 b4 Qb6 Na4 Qc7 c4 Bd7 Nc3 b5 cxb5 cxb5 Rc1 Qb7 Qb3 Be6 Qb2 Nc6 Rc2 a5 a3 axb4 axb4 Nd4 Rcc1 Nxe2+ Nxe2 Ra2 Qb1 Rea8 Nc3 R2a7 d4 exd4 Nxd4 Ba2 Qc2 Bc4 Rfe1 Nxe4 Nxe4 Bxd4 Nxd6 Qd5 Nxc4 bxc4 Qxc4 Qxc4 Rxc4 Rd7 Bh6 Ra1 Rxa1 Bxa1 Rc8+ Rd8 Rxd8#,A04,Zukertort Opening: Quiet System,3,71
2O8oQ5Go,False,1462230000000.0,1462230000000.0,32,mate,black,10+0,schoonied,1319,chesswithmom,2294,Nf3 Nf6 d4 d5 c3 Nc6 e3 Bg4 Bb5 a6 Bxc6+ bxc6 O-O Ne4 Nbd2 h5 Qe1 h4 b4 h3 g3 e6 Ne5 Qf6 Nxg4 Qf5 Qe2 Nxd2 Bxd2 Qe4 Rae1 Qg2#,D02,Queen's Pawn Game: Symmetrical Variation,4,32
svP0zGTr,True,1499950841681.0,1499951259240.0,49,resign,white,10+0,mmatkun,2191,dinobzik,1174,e4 e6 d4 d5 Nc3 dxe4 Nxe4 Nf6 Nxf6+ Qxf6 Nf3 Be7 b3 c5 Bb2 Nc6 Bb5 Bd7 Qe2 cxd4 Nxd4 Nxd4 Bxd7+ Kxd7 Bxd4 Qxd4 Rd1 Bb4+ Kf1 Qxd1+ Qxd1+ Kc7 Qg4 Rhg8 Qxb4 Rad8 g3 h5 Kg2 g5 h4 gxh4 Rxh4 Rh8 Qf4+ Kc8 Qxf7 Rd2 Qxe6+,C10,French Defense: Rubinstein Variation,6,49
5ORW5WNC,False,1504371280241.0,1504372432107.0,63,resign,black,120+10,sanchitkaushal,1047,taranga,1277,d4 d5 e3 e6 Bb5+ c6 Ba4 b5 Bb3 Bd6 a4 Nf6 a5 Bb4+ Bd2 Bxd2+ Nxd2 O-O Ndf3 Qe8 Nh3 e5 Nxe5 Bxh3 gxh3 Nbd7 Nxc6 Qe4 a6 Qxh1+ Kd2 Qxh2 Ne7+ Kh8 Kc1 Qxh3 c4 bxc4 Ba4 Qg2 b4 Qxf2 b5 Qxe3+ Qd2 Qxe7 Qg5 Nb6 Bc2 Rfe8 Qh4 Qb4 Kd1 Qc3 Kc1 Re1+ Qxe1 Qxe1+ Kb2 Qb4+ Kc1 Qc3 Rb1,D00,Queen's Pawn Game #2,3,63
gppqnXi3,False,1484492867675.0,1484494091854.0,150,mate,black,10+14,sagansaxo,1614,rtcxks,1587,e4 d6 Nf3 Bg4 h3 Bh5 Bc4 e5 d3 Nc6 Ng5 Qxg5 Bxg5 Bxd1 Kxd1 h6 Bh4 Nge7 Nc3 a6 Nd5 Kd7 Nxe7 Bxe7 Bxe7 Kxe7 Kd2 Rhf8 f3 f5 exf5 Rxf5 Rae1 b6 Bd5 Kd7 a4 a5 f4 Re8 g3 Nd4 Rhg1 Ref8 c3 exf4 cxd4 Rxd5 gxf4 Rxd4 Rxg7+ Kc6 Re4 Rxf4 Rxd4 Rxd4 b3 Rb4 Kc3 Rh4 Rg3 Kc5 Rf3 d5 Rg3 d4+ Kc2 Kb4 Rf3 b5 axb5 Kxb5 Rf5+ Kb4 Rf3 a4 bxa4 Kxa4 Kd2 Kb4 Kc2 c5 Kd2 c4 dxc4 Kxc4 Rg3 Rf4 Rg2 Rf3 h4 Rd3+ Kc2 Rh3 Kd2 Rxh4 Rg3 h5 Ke2 Rh2+ Kd1 h4 Rf3 h3 Kc1 Rh1+ Kd2 h2 Rf2 Rd1+ Kxd1 h1=Q+ Ke2 d3+ Ke3 Qh6+ Kf3 Kc3 Kg2 Qg5+ Kf1 Qe5 Kg2 d2 Rxd2 Kxd2 Kf3 Qe3+ Kg4 Qf2 Kg5 Qf1 Kg4 Ke3 Kg5 Ke4 Kg6 Ke5 Kg7 Ke6 Kg6 Qg1+ Kh5 Kf6 Kh4 Kf5 Kh3 Kf4 Kh4 Qg4#,A04,Zukertort Opening: Wade Defense,4,150
09BAGjgn,False,1504060000000.0,1504060000000.0,36,resign,black,10+0,manal,1350,brandonbos,1480,e4 e5 Nf3 Nc6 Bb5 Nd4 Nxe5 Nxb5 Qf3 Nf6 d3 Nd4 Qd1 d6 Nc4 Bg4 f3 Be6 Ne3 d5 e5 Nd7 a3 Nb5 c3 d4 c4 dxe3 cxb5 c6 bxc6 bxc6 Bxe3 Qa5+ b4 Qxe5,C61,Ruy Lopez: Bird Variation,6,36
eqtL1GCI,True,1478500000000.0,1478500000000.0,46,resign,black,10+3,black_slonik,1472,jdimojc,1691,d4 d6 Bg5 Nd7 e3 Ngf6 Nd2 g6 c3 Bg7 Bc4 O-O h4 b6 g4 Bb7 Rh2 Nxg4 Qxg4 c5 Bb5 Nf6 Bxf6 Bxf6 h5 Bg7 hxg6 fxg6 Qh4 h5 Bd3 e5 Qxd8 Raxd8 dxe5 Bxe5 Rh3 Rf6 f4 Bxf4 Rf3 Bg5 O-O-O Bxf3 Ndxf3 Bxe3+,A41,Queen's Pawn,2,46
jkBe42CV,True,1502810000000.0,1502810000000.0,135,draw,draw,5+5,fischerdipper,1696,elio12,1564,c4 g6 d3 Bg7 Nf3 c5 Nc3 e6 e3 Ne7 Be2 b6 O-O Bb7 Qc2 d5 cxd5 exd5 b3 d4 exd4 Bxd4 Nxd4 cxd4 Nb5 Na6 Nd6+ Qxd6 a4 Rc8 Qd2 O-O Ba3 Qf6 Bg4 Rc3 Rfe1 Re8 Bd7 Rd8 Bxe7 Qd6 Bxd6 Rxd7 Qh6 Rc8 Be5 f6 Bxf6 Rf7 Bxd4 Nb4 Re2 Nxd3 Rd1 Nf4 Re3 Nxg2 Rg3 Nf4 Re1 Ne2+ Kf1 Nxg3+ hxg3 Ba6+ Kg1 Rd8 Ba1 Bb7 Qh4 Rd5 Qe4 Rh5 Qe8+ Rf8 Qe6+ Rf7 Kf1 Ba6+ Kg2 Bb7+ Kf1 Ba6+ Kg2 Bb7+ f3 Bxf3+ Kg1 Rh1+ Kf2 Bd5+ Qxf7+ Kxf7 Rxh1 Bxh1 Ke3 Ke6 Kf4 Bd5 b4 Bb3 a5 bxa5 bxa5 a6 Kg5 Ke7 Kh6 Ke6 Kxh7 Kf5 Kg7 g5 Kf8 g4 Ke7 Ke4 Kd6 Kf3 Be5 Bd1 Kc5 Be2 Kb6 Ke4 Bf4 Kd4 Bb8 Kc3 Bf4 Kb4 Bb8 Ka4 Bf4,A10,English Opening: Great Snake Variation,2,135
9944m389,True,1379366318950.0,1379366962872.0,51,mate,white,15+12,kamilahhuds,1354,mrcesarchess,1389,e4 d6 c4 Na6 d4 e6 d5 e5 Bd2 Bd7 Nf3 Nf6 Bd3 Bg4 h3 Bxf3 Qxf3 Qd7 Nc3 c6 a3 Rc8 O-O Nc5 Bc2 cxd5 exd5 e4 Nxe4 Nfxe4 Bxe4 Nb3 Rad1 Nd4 Qe3 Nc2 Bxc2+ Qe7 Qxa7 Rxc4 Rde1 Rxc2 Rxe7+ Bxe7 Qa4+ Kd8 Qxc2 Kd7 Rc1 Rc8 Qxc8#,B07,Pirc Defense #4,2,51
